Timestamp,ViolationType,Location,Channel
2026-03-31 23:23:51,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-03-31 23:24:01,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-03-31 23:35:01,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-03-31 23:35:11,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-03-31 23:37:53,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-03-31 23:56:00,"No Helmet, No Mask (P1)",Zone A,email
2026-03-31 23:56:16,"No Helmet, No Mask (P1)",Zone A,email
2026-03-31 23:56:26,"No Helmet, No Mask (P1)",Zone A,email
2026-03-31 23:56:36,"No Helmet, No Mask (P1)",Zone A,email
2026-03-31 23:56:46,"No Helmet, No Mask (P1)",Zone A,email
2026-03-31 23:57:04,"No Helmet, No Mask (P1)",Zone A,email
2026-03-31 23:58:46,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-03-31 23:58:56,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-03-31 23:59:06,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 00:18:14,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 00:18:24,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 00:18:34,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 00:18:44,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 00:22:30,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 00:22:42,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 00:22:52,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 00:23:02,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 08:14:43,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 08:14:44,"No Helmet, No Mask (P1)",Zone A,email+telegram
