Timestamp,Category,Status,Details
19:24:36,Violation,19:24:36 - No No person detected,
19:24:35,Violation,19:24:35 - No No person detected,
19:24:34,Violation,19:24:34 - No No person detected,
19:24:32,Violation,19:24:32 - No No person detected,
19:24:31,Violation,19:24:31 - No No person detected,
19:24:30,Violation,19:24:30 - No No person detected,
19:24:29,Violation,19:24:29 - No No person detected,
19:24:27,Violation,19:24:27 - No No person detected,
19:24:26,Violation,19:24:26 - No No person detected,
19:24:25,Violation,19:24:25 - No No person detected,
19:24:23,Violation,19:24:23 - 👷 2 Person(s) detected,"👤P1: No No Helmet, No No Mask | 👤P2: No No Helmet, No No Mask"
19:24:22,Violation,19:24:22 - 👷 1 Person(s) detected,"👤P1: No No Helmet, ✅ Mask"
19:24:21,Violation,19:24:21 - 👷 1 Person(s) detected,"👤P1: No No Helmet, ✅ Mask"
19:24:20,Violation,19:24:20 - 👷 1 Person(s) detected,"👤P1: No No Helmet, No No Mask"
19:24:18,Violation,19:24:18 - 👷 1 Person(s) detected,"👤P1: No No Helmet, No No Mask"
19:24:17,Violation,19:24:17 - 👷 1 Person(s) detected,"👤P1: No No Helmet, No No Mask"
19:24:16,Violation,19:24:16 - 👷 1 Person(s) detected,"👤P1: No No Helmet, No No Mask"
19:24:15,Violation,19:24:15 - 👷 1 Person(s) detected,"👤P1: No No Helmet, No No Mask"
19:24:14,Violation,19:24:14 - 👷 1 Person(s) detected,"👤P1: No No Helmet, No No Mask"
19:24:12,Violation,19:24:12 - 👷 1 Person(s) detected,"👤P1: No No Helmet, No No Mask"
